List of Countries in the World,,,
S.No.,Country,Capital,Continent
1,Afghanistan ,Kabul ,Asia
2,Albania ,Tirana ,Europe
3,Algeria ,Algiers ,Africa
4,American Samoa (USA),Pago Pago ,Oceania
5,Andorra ,Andorra La Vella ,Europe
6,Angola ,Luanda ,Africa
7,Anguilla (UK),The Valley ,North America
8,Antigua and Barbuda ,Saint Johns,North America
9,Argentina ,Buenos Aires ,South America
10,Armenia ,Yerevan ,Europe
11,Aruba (Netherlands),Oranjestad ,North America
12,Australia ,Canberra ,Oceania
13,Austria ,Vienna ,Europe
14,Azerbaijan ,Baku ,Europe
15,Bahamas ,Nassau ,North America
16,Bahrain ,Manama ,Asia
17,Bangladesh ,Dhaka ,Asia
18,Barbados ,Bridgetown ,North America
19,Belarus ,Minsk ,Europe
20,Belgium ,Brussels ,Europe
21,Belize ,Belmopan ,North America
22,Benin ,Porto-Novo,Africa
23,Bermuda (UK),Hamilton ,North America
24,Bhutan ,Thimphu ,Asia
25,Bolivia ,Sucre,South America
26,Bosnia and Herzegovina ,Sarajevo ,Europe
27,Botswana ,Gaborone ,Africa
28,Brazil ,Brasília ,South America
29,British Virgin Islands (UK),Road Town ,North America
30,Brunei ,Bandar Seri Begawan ,Asia
31,Bulgaria ,Sofia ,Europe
32,Burkina Faso ,Ouagadougou ,Africa
33,Burundi ,Bujumbura ,Africa
34,Cambodia ,Phnom Penh ,Asia
35,Cameroon ,Yaoundé ,Asia
36,Canada ,Ottawa ,North America
37,Cape Verde ,Praia ,Africa
38,Cayman Islands (UK),George Town ,North America
39,Central African Republic ,Bangui ,Africa
40,Chad ,N'Djamena ,Africa
41,Chile ,Santiago ,South America
42,China,Beijing ,Asia
43,Christmas Island (Australia),Flying Fish Cove ,Asia
44,Cocos (Keeling) Islands (Australia),"West Island, Cocos Islands ",Asia
45,Colombia ,Bogotá ,South America
46,Comoros ,Moroni ,Africa
47,Cook Islands (New Zealand),Avarua ,Oceania
48,Costa Rica ,San José ,North America
49,Croatia ,Zagreb ,Europe
50,Cuba ,Havana ,North America
51,Curacao (Netherlands),Willemstad ,North America
52,Cyprus ,Nicosia ,Europe
53,Czech Republic ,Prague ,Europe
54,D.R Congo ,Kinshasa ,Africa
55,Denmark ,Copenhagen ,Europe
56,Djibouti ,Djibouti-city,Africa
57,Dominica ,Roseau ,North America
58,Dominican Republic ,Santo Domingo ,North America
59,East Timor (Timor-Leste) ,Dili ,Asia
60,Ecuador ,Quito ,South America
61,Egypt ,Cairo ,Africa
62,El Salvador ,San Salvador ,North America
63,Equatorial Guinea ,Malabo ,Africa
64,Eritrea ,Asmara ,Africa
65,Estonia ,Tallinn ,Europe
66,Ethiopia ,Addis Ababa ,Africa
67,Falkland Islands (UK),Stanley ,South America
68,Faroe Islands (Denmark),Tórshavn ,Europe
69,Fiji ,Suva ,Oceania
70,Finland ,Helsinki ,Europe
71,France ,Paris ,Europe
72,French Guiana (France),Cayenne ,South America
73,French Polynesia (France),Papeete ,Oceania
74,Gabon ,Libreville ,Africa
75,Gambia ,Banjul ,Africa
76,Georgia ,Tbilisi ,Europe
77,Germany ,Berlin ,Europe
78,Ghana ,Accra ,Africa
79,Gibraltar (UK),Gibraltar ,Europe
80,Greece ,Athens ,Europe
81,Greenland (Denmark),Nuuk ,North America
82,Grenada ,St. George's ,North America
83,Guam (USA),Hagatna ,North America
84,Guatemala ,Guatemala City,North America
85,Guernsey (UK),Saint Peter Port,Europe
86,Guinea ,Conakry ,Africa
87,Guinea-Bissau ,Bissau ,Africa
88,Guyana ,Georgetown ,South America
89,Haiti ,Port-au-prince ,North America
90,Honduras ,Tegucigalpa ,North America
91,Hong Kong (China),Hong Kong City,Asia
92,Hungary ,Budapest ,Europe
93,Iceland ,Reykjavík ,Europe
94,India ,New Delhi ,Asia
95,Indonesia ,Jakarta ,Asia
96,Iran ,Tehran ,Asia
97,Iraq ,Baghdad ,Asia
98,Ireland ,Dublin ,Europe
99,Isle of Man (UK),Douglas ,Europe
100,Israel ,Jerusalem,Asia
101,Italy ,Rome ,Europe
102,Ivory Coast ,Yamoussoukro,Africa
103,Jamaica ,Kingston ,North America
104,Japan ,Tokyo ,Asia
105,Jersey (UK),Saint Helier,Europe
106,Jordan ,Amman ,Asia
107,Kazakhstan ,Astana ,Asia
108,Kenya ,Nairobi ,Africa
109,Kiribati ,Tarawa ,Asia
110,Kosovo,Pristina ,Asia
111,Kuwait ,Kuwait City ,Asia
112,Kyrgyzstan ,Bishkek ,Asia
113,Laos ,Vientiane ,Asia
114,Latvia ,Riga ,Europe
115,Lebanon ,Beirut ,Asia
116,Lesotho ,Maseru ,Africa
117,Liberia ,Monrovia ,Africa
118,Libya ,Tripoli ,Africa
119,Liechtenstein ,Vaduz ,Europe
120,Lithuania ,Vilnius ,Europe
121,Luxembourg ,Luxembourg ,Europe
122,Macedonia ,Skopje ,Europe
123,Madagascar ,Antananarivo ,Africa
124,Malawi ,Lilongwe ,Africa
125,Malaysia,Kuala Lumpur ,Asia
126,Maldives ,Malé ,Asia
127,Mali ,Bamako ,Africa
128,Malta ,Valletta ,Europe
129,Marshall Islands ,Majuro ,Oceania
130,Mauritania ,Nouakchott ,Africa
131,Mauritius ,Port Louis ,Africa
132,Mexico ,Mexico City ,North America
133,Micronesia ,Palikir ,Oceania
134,Moldova ,Chisinau ,Europe
135,Monaco ,Monaco ,Europe
136,Mongolia ,Ulan Bator ,Asia
137,Montenegro ,Podgorica ,Europe
138,Montserrat (UK),"Brades, Plymouth",North America
139,Morocco ,Rabat ,Europe
140,Mozambique ,Maputo ,Africa
141,Myanmar ,Naypyidaw ,Asia
142,Namibia ,Windhoek ,Africa
143,Nauru ,Yaren,Oceania
144,Nepal ,Kathmandu ,Asia
145,Netherlands ,Amsterdam ,Europe
146,New Caledonia (France),Nouméa ,Oceania
147,New Zealand ,Wellington ,Oceania
148,Nicaragua ,Managua ,North America
149,Niger ,Niamey ,Africa
150,Nigeria ,Abuja ,Africa
151,Niue (New Zealand),Alofi ,Oceania
152,Norfolk Island (Australia),Kingston ,Oceania
153,North Korea ,Pyongyang ,Asia
154,Northern Mariana Islands (USA),Saipan ,Oceania
155,Norway ,Oslo ,Europe
156,Oman ,Muscat ,Asia
157,Pakistan ,Islamabad ,Asia
158,Palau ,Ngerulmud ,Oceania
159,Palestine ,Ramallah and Gaza,Asia
160,Panama ,Panama City ,North America
161,Papua New Guinea ,Port Moresby ,Oceania
162,Paraguay ,Asunción ,South America
163,Peru ,Lima ,South America
164,Philippines ,Manila ,Asia
165,Pitcairn Islands (UK),Adamstown ,Oceania
166,Poland ,Warsaw ,Europe
167,Portugal ,Lisbon ,Europe
168,Puerto Rico (USA),San Juan ,North America
169,Qatar ,Doha ,Africa
170,Republic of the Congo ,Brazzaville ,Africa
171,Romania ,Bucharest ,Europe
172,Russia ,Moscow ,Europe
173,Rwanda ,Kigali ,Africa
174,Saint Barthelemy,"Gustavia, Saint Barthélemy",North America 
175,"Saint Helena, Ascension, and Tristan da Cunha (UK)",Jamestown,South America
176,Saint Kitts and Nevis ,Basseterre ,North America
177,Saint Lucia ,Castries ,North America
178,Saint Martin,Philipsburg,North America
179,Saint Pierre and Miquelon (France),Saint-Pierre,North America
180,Saint Vincent and the Grenadines ,Kingstown ,North America
181,Samoa ,Apia ,Oceania
182,San Marino ,San Marino ,Europe
183,São Tomé and Príncipe ,Sao Tome,Africa
184,Saudi Arabia ,Riyadh ,Asia
185,Senegal ,Dakar ,Africa
186,Serbia ,Belgrade ,Europe
187,Seychelles ,Victoria ,Africa
188,Sierra Leone ,Freetown ,Africa
189,Singapore ,Singapore ,Asia
190,Sint Maarten (Netherlands),Philipsburg,North America
191,Slovakia ,Bratislava ,Europe
192,Slovenia ,Ljubljana ,Europe
193,Solomon Islands ,Honiara ,Oceania
194,Somalia ,Mogadishu ,Africa
195,South Africa ,Cape Town,Africa
196,South Korea ,Seoul ,Asia
197,South Sudan ,Juba ,Africa
198,Spain,Madrid ,Europe
199,Sri Lanka ,Sri Jayawardenapura-kotte,Asia
200,Sudan ,Khartoum ,Africa
201,Suriname ,Paramaribo ,South America
202,Swaziland ,Mata-utu ,Africa
203,Sweden ,Stockholm ,Europe
204,Switzerland ,Bern ,Europe
205,Syria ,Damascus ,Asia
206,Taiwan ,Taipei ,Asia
207,Tajikistan ,Dushanbe ,Asia
208,Tanzania ,Dodoma,Africa
209,Thailand ,Bangkok ,Asia
210,Togo ,Lomé ,Africa
211,Tokelau (New Zealand),"Nukunonu, Atafu,Tokelau",Oceania
212,Tonga ,Nukuʻalofa ,Africa
213,Transnistria ,Tiraspol ,Europe
214,Trinidad and Tobago ,Port Of Spain ,North America
215,Tunisia ,Tunis ,Africa
216,Turkey ,Ankara ,Asia
217,Turkmenistan ,Ashgabat ,Asia
218,Turks and Caicos Islands (UK),Cockburn Town ,North America
219,Tuvalu ,Funafuti ,Oceania
220,Uganda ,Kampala ,Africa
221,Ukraine ,Kiev ,Europe
222,United Arab Emirates ,Abu Dhabi ,Asia
223,United Kingdom ,London ,Europe
224,United States ,Washington D.C. ,North America
225,United States Virgin Islands (USA),Charlotte Amalie ,North America
226,Uruguay ,Montevideo ,South America
227,Uzbekistan ,Tashkent ,Asia
228,Vanuatu ,Port Vila ,Oceania
229,Vatican City ,Vatican City ,Europe
230,Venezuela ,Caracas ,South America
231,Vietnam ,Hanoi ,Asia
232,Wallis and Futuna (France),Mata-Utu ,Oceania
233,Western Sahara,El Aaiun,Africa
234,Yemen ,Sana'a ,Asia
235,Zambia ,Lusaka ,Africa
236,Zimbabwe ,Harare ,Africa